Name,Born,Height,Weight,Division,Reach,Style
Ryan Thomas,"(1984-11-05) November 5, 1984 (age 34)Danville, Illinois, United States",6 ft 0 in (1.83 m),184.5 lb (83.7 kg; 13.18 st),WelterweightMiddleweight,75,Not Available
Marcus Aurélio,"(1973-08-18) August 18, 1973 (age 45)Fortaleza, Brazil",5 ft 10 in (1.78 m),155 lb (70 kg; 11.1 st),Lightweight,76 1⁄2 in (194 cm),"Brazilian Jiu Jitsu, Boxing, Wrestling"
Rameau Thierry Sokoudjou,"Rameau Thierry Sokoudjou Nkamhoua (1984-04-18) April 18, 1984 (age 35)Hom'la, Cameroon",5 ft 10 in (1.78 m)[1][2][3],206.1 lb (93 kg; 14 st 10 lb),Light HeavyweightHeavyweight,78.0 in (198 cm),Not Available
Jess Liaudin,"(1973-12-21) 21 December 1973 (age 45)Evry, France",5 ft 10 in (1.78 m),155 lb (70 kg; 11.1 st),WelterweightLightweight,Not Available,Not Available
David Baron,"(1973-02-15) February 15, 1973 (age 46)Bois-Colombes, France",1.68 m (5 ft 6 in),75 kg (165 lb; 11.8 st),Welterweight,Not Available,Not Available
Samy Schiavo,"(1975-12-24) December 24, 1975 (age 43)Avignon, France",5 ft 7 in (1.70 m),135 lb (61 kg; 9.6 st),Bantamweight,Not Available,Not Available
Jason Lambert,"(1977-09-23) September 23, 1977 (age 41)Long Beach, California, United States",5 ft 10 in (1.78 m),203.5 lb (92.3 kg; 14.54 st),Heavyweight Light Heavyweight  Middleweight,72.0 in (183 cm)[1],Not Available
Heath Herring,"(1978-03-02) March 2, 1978 (age 41)Waco, Texas, United States",6 ft 4 in (1.93 m),261.9 lb (119 kg; 18 st 10 lb),Heavyweight,78 in (198 cm),Not Available
Luke Cummo,"(1980-04-27) April 27, 1980 (age 39)New Hyde Park, New York, United States",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),Welterweight,Not Available,"Muay Thai, Brazilian Jiu Jitsu"
Cale Yarbrough,"(1986-12-27) December 27, 1986 (age 32)Marietta, Georgia",6 ft 2 in (1.88 m),203 lb (92 kg; 14.5 st),MiddleweightLight Heavyweight,Not Available,Not Available
Evan Tanner,"(1971-02-11)February 11, 1971Amarillo, Texas, US",6 ft 0 in (1.83 m),185 lb (84 kg; 13.2 st),Middleweight Light Heavyweight Heavyweight,74 in (188 cm)[1],"Wrestling, Shootfighting, BJJ"
Dante Rivera,"(1984-08-12) August 12, 1984 (age 34)Manhattan, New York",6 ft 0 in (1.83 m),170.9 lb (77.5 kg; 12.21 st),Light Heavyweight(2007)Middleweight (2002-2010)Welterweight (2013-present),Not Available,Not Available
Marvin Eastman,"Marvin Lee Eastman (1969-06-28) June 28, 1969 (age 50)Merced, California, United States",1.75 m (5 ft 9 in),94.1 kg (207 lb; 14.82 st),HeavyweightLight HeavyweightMiddleweight,75 in (191 cm),Not Available
Ivan Salaverry,"(1971-01-11) January 11, 1971 (age 48)Toronto, Ontario, Canada",6 ft 0 in (1.83 m),185 lb (84 kg; 13.2 st),Middleweight,75.5 in (192 cm),Wrestling  Kickboxing
Kazuhiro Nakamura,"(1979-07-16) July 16, 1979 (age 39)Fukuyama, Hiroshima, Japan",5 ft 11 in (1.80 m),185 lb (84 kg; 13 st 3 lb),Middleweight  Light Heavyweight  Heavyweight,70.0 in (178 cm),Not Available
Jon Koppenhaver,"Jonathan Paul Koppenhaver (1981-11-30) November 30, 1981 (age 37)Simi Valley, California, United States",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st),Welterweight,72 in (180 cm),Not Available
Jason Tan,"Liverpool, England",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st),Welterweight,69 in (180 cm),Not Available
Travis Lutter,"(1973-05-12) May 12, 1973 (age 46)Chamberlain, South Dakota, United States",6 ft 2 in (1.88 m),185 lb (84 kg; 13.2 st),MiddleweightLight Heavyweight,75.0 in (191 cm),Not Available
Kalib Starnes,"Kalib Axel Starnes (1975-01-06) January 6, 1975 (age 44)Surrey, British Columbia, Canada",6 ft 3 in (191 cm)[1][2],216.8 lb (98.3 kg; 15.49 st)[3],MiddleweightLight HeavyweightHeavyweight,74 in (187 cm),Not Available
Charles McCarthy,"(1980-08-06) August 6, 1980 (age 38)Mount Kisco, NY, United States",6 ft 0 in (1.83 m),185 lb (84 kg; 13.2 st),Middlewight,Not Available,Not Available
Kuniyoshi Hironaka,"(1976-06-17) June 17, 1976 (age 43)Yamaguchi, Japan",5 ft 10 in (1.78 m),155 lb (70 kg; 11.1 st),Lightweight  Welterweight,Not Available,Not Available
Din Thomas,"(1976-09-28) September 28, 1976 (age 42)Wilmington, Delaware, United States",5 ft 9 in (1.75 m),145 lb (66 kg),Featherweight (2009–2014)  LightweightWelterweight,Not Available,Not Available
Ryan Roberts,"(1978-07-16) July 16, 1978 (age 40)Omaha, Nebraska, United States",5 ft 6 in (1.68 m),139 lb (63 kg; 9.9 st),Bantamweight  Featherweight  Lightweight,Not Available,Not Available
Roman Mitichyan,"(1978-09-04) September 4, 1978 (age 40)Vanadzor, Armenian Soviet Socialist Republic",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st),Welterweight,Not Available,"Wrestling, Sambo, Judo"
Tom Speer,"(1984-08-20) August 20, 1984 (age 34)Elgin, Minnesota, United States",5 ft 10 in (1.78 m),186 lb (84 kg; 13.3 st),MiddleweightWelterweight,Not Available,Not Available
Anderson Silva (UFC Champion),"Anderson da Silva[1] (1975-04-14) April 14, 1975 (age 44)São Paulo, Brazil[2]",6 ft 2 in (1.88 m)[5],185 lb (84 kg; 13.2 st),Middleweight  Light Heavyweight,77 1⁄2 in (197 cm),"Muay Thai, Wing Chun, Brazilian Jiu-Jitsu, Taekwondo, Capoeira"
Dan Henderson (Pride Champion),"Daniel Jeffery Henderson (1970-08-24) August 24, 1970 (age 48)Downey, California, U.S.",5 ft 11 in (1.80 m)[1],185 lb (84 kg; 13.2 st),Welterweight MiddleweightLight heavyweight Heavyweight,74 in (188 cm)[1],Not Available
Tim Sylvia,"Timothy Deane Sylvia (1976-03-05) March 5, 1976 (age 43)[1]Ellsworth, Maine, U.S.",6 ft 8 in (2.03 m),271 lb (123 kg; 19.4 st),"Heavyweight (2001-2008, 2011-2015)  Super Heavyweight (2009-2011, 2013)",80.0 in (203 cm),"Boxing, Wrestling, Karate, Brazilian Jiu-Jitsu"
Terry Martin,"(1980-10-10) October 10, 1980 (age 38)Chicago, Illinois, United States",5 ft 8 in (1.73 m),190.7 lb (86.5 kg; 13.62 st),WelterweightMiddleweightLight Heavyweight,71 in (180 cm),Not Available
David Heath,"(1976-02-10) February 10, 1976 (age 43)Nowata, Oklahoma, United States",5 ft 11 in (1.80 m),205 lb (93 kg; 14.6 st),Light HeavyweightMiddleweight,72.5 in (184 cm)[1],Not Available
Alberto Crane,"(1976-07-14) July 14, 1976 (age 43)Santa Fe, New Mexico, United States",5 ft 9 in (1.75 m),155 lb (70 kg; 11.1 st),Lightweight,Not Available,Not Available
Jordan Radev,"(1976-03-04) March 4, 1976 (age 43)Pomorie, Bulgaria",5 ft 7 in (1.70 m),170 lb (77 kg; 12 st),170  185 (2002-2009),Not Available,Not Available
Tony DeSouza,"Antun Nicolas De Souza[1] (1974-07-26) July 26, 1974 (age 44)Lima, Peru",6 ft 0 in (1.83 m),175 lb (79 kg; 12.5 st),Welterweight,Not Available,"Brazilian Jiu-Jitsu, Boxing"
Doug Evans,"(1980-10-10) October 10, 1980 (age 38)Anchorage, Alaska, United States",5 ft 9 in (1.75 m),155 lb (70 kg; 11.1 st),Featherweight  Lightweight,Not Available,Not Available
John Kolosci,"(1974-11-26) November 26, 1974 (age 44)Portage, Indiana, United States",5 ft 11 in (1.80 m),170 lb (77 kg; 12 st),Welterweight,Not Available,Not Available
Luke Caudillo,"(1980-11-30) November 30, 1980 (age 38)North Platte, Nebraska, United States",5 ft 7 in (1.70 m),155 lb (70 kg; 11.1 st),Lightweight,Not Available,Not Available
Jason Black,"Jason Douglas Black (1972-08-15) August 15, 1972 (age 46)Ottumwa, Iowa, United States",5 ft 10 in (1.78 m),155 lb (70 kg; 11.1 st),LightweightWelterweight,Not Available,Not Available
Diego Saraiva,"(1982-04-23) April 23, 1982 (age 37)Fortaleza, Brazil",5 ft 6 in (1.68 m),145 lb (66 kg; 10.4 st),Featherweight  Lightweight,66.0 in (168 cm)[1],Not Available
Junior Assuncao,"(1981-06-24) June 24, 1981 (age 38)Recife, Brazil",5 ft 9 in (1.75 m),143.1 lb (64.9 kg; 10.22 st),WelterweightLightweightFeatherweight,71 in (180 cm)[1],Not Available
Renato Sobral,"Renato Sobral da Cunha (1975-09-07) 7 September 1975 (age 43)Rio de Janeiro, Brazil",6 ft 0 in (1.83 m),202 lb (92 kg; 14 st 6 lb),Light HeavyweightHeavyweight,76 in (193 cm),Not Available
Jens Pulver,"(1974-12-06) December 6, 1974 (age 44)Sunnyside, Washington, United States",5 ft 7 in (1.70 m),135 lb (61 kg; 9.6 st),Flyweight  Bantamweight (2011–2014)  Featherweight (2007–2011)  Lightweight (1999–2006),67 in (170 cm),"Boxing, Wrestling, Kickboxing, BJJ, Shootboxing"
Hector Ramirez,"(1976-03-28) March 28, 1976 (age 43)East Los Angeles, California, U.S.",6 ft 0 in (1.83 m),205 lb (93 kg; 14.6 st),Not Available,Not Available,Not Available
Rory Singer,"(1976-05-28) May 28, 1976 (age 43)Brooklyn, New York, United States",6 ft 2 in (1.88 m),205 lb (93 kg; 14.6 st),Middleweight (185 lb)  Light Heavyweight (205 lb),Not Available,"Muay Thai, Kickboxing, Boxing, Submission Fighting, Brazilian Jiu-Jitsu"
Scott Smith,"(1979-05-21) May 21, 1979 (age 40)Reno, Nevada, United States",6 ft 0 in (1.83 m),186 lb (84.4 kg; 12.2 st)[1],WelterweightMiddleweight Light HeavyweightHeavyweight,Not Available,Not Available
Pete Spratt,"Aaron Dewain Spratt (1971-01-09) January 9, 1971 (age 48)Denison, Texas, United States",5 ft 9 in (1.75 m),170 lb (77 kg; 12 st)[1],WelterweightMiddleweight,69.5 in (177 cm),Not Available
Chad Reiner,"Omaha, Nebraska, United States",5 ft 11 in (1.80 m),170 lb (77 kg; 12 st),WelterweightMiddleweight,Not Available,Not Available
Sean Salmon,"(1977-09-11) September 11, 1977 (age 41)Milwaukee, Wisconsin, United States",5 ft 10 in (1.78 m),205 lb (93 kg; 14.6 st),Light HeavyweightMiddleweight,Not Available,Not Available
Elvis Sinosic,"(1971-02-13) 13 February 1971 (age 48)Canberra, Australia",6 ft 3 in (1.91 m),205 lb (93 kg; 14.6 st),205,77.5 in (197 cm),Not Available
Assuerio Silva,"(1974-06-18) June 18, 1974 (age 45)Mossoró, Rio Grande do Norte, Brazil",6 ft 1 in (1.85 m),241 lb (109 kg; 17.2 st),Heavyweight,75 in (191 cm),Not Available
Brad Imes,"Bradley Imes Smith (1977-03-13) March 13, 1977 (age 42)Maryville, Missouri, United States",6 ft 7 in (2.01 m),265 lb (120 kg; 18.9 st),Heavyweight,Not Available,Not Available
Josh Haynes,"(1977-07-30) July 30, 1977 (age 41)Grants Pass, Oregon, U.S.",5 ft 9 in (1.75 m),205 lb (93 kg; 14.6 st),Welterweight Middleweight Light Heavyweight(current),Not Available,Not Available
Hermes Franca,"(1974-08-26) August 26, 1974 (age 44)Fortaleza, Brazil",5 ft 6 in (1.68 m),155 lb (70 kg; 11.1 st),Lightweight,70.5 in (179 cm),"BJJ, Boxing,"
Quinton Jackson(UFC Champion),"Quinton Ramone Jackson (1978-06-20) June 20, 1978 (age 41)Memphis, Tennessee, U.S.",6 ft 1 in (185 cm),253 lb (115 kg; 18 st 1 lb)[1],"Heavyweight (1999–2000, 2016–present)Light heavyweight (2000–2002, 2004–2015)Middleweight (2003)",73 in (185 cm),"Kickboxing, Wrestling"
Dan Henderson(Pride Champion),"Daniel Jeffery Henderson (1970-08-24) August 24, 1970 (age 48)Downey, California, U.S.",5 ft 11 in (1.80 m)[1],185 lb (84 kg; 13.2 st),Welterweight MiddleweightLight heavyweight Heavyweight,74 in (188 cm)[1],Not Available
Sam Hoger,"(1980-06-28) June 28, 1980 (age 39)Baton Rouge, Louisiana, United States",6 ft 3 in (1.91 m),205 lb (93 kg; 14.6 st),Light HeavyweightHeavyweight,Not Available,Not Available
Marcio Cruz,"(1978-04-24) April 24, 1978 (age 41)Rio de Janeiro, Brazil",6 ft 4 in (1.93 m),206 lb (93 kg; 14.7 st),"Light heavyweight, Heavyweight",82 in (208 cm),"BJJ, Karate, Submission Wrestling"
Drew Fickett,"(1979-12-24) December 24, 1979 (age 39)Tampa, Florida, United States",5 ft 10 in (1.78 m),155 lb (70 kg; 11.1 st),Lightweight (2010–present)Welterweight (1999–2010),Not Available,Not Available
Shonie Carter,"Mearion Shonie Bickhem III (1972-05-03) May 3, 1972 (age 47)Chicago, Illinois, United States",5 ft 9 in (1.75 m),197 lb (89 kg; 14.1 st),WelterweightMiddleweightLight Heavyweight,Not Available,Not Available
Dave Menne,"(1974-07-29) July 29, 1974 (age 44)Minneapolis, Minnesota, United States",5 ft 10 in (1.78 m),185 lb (84 kg; 13.2 st),WelterweightMiddleweight,Not Available,Not Available
Logan Clark,"(1985-02-16) February 16, 1985 (age 34)Rochester, Minnesota, United States",6 ft 2 in (1.88 m),185 lb (84 kg; 13.2 st),Middleweight  Heavyweight (2009),75.0 in (191 cm),Not Available
Jeff Monson,"Jeffrey William Monson[1] (1971-01-18) January 18, 1971 (age 48)Saint Paul, Minnesota, U.S.",5 ft 9 in (1.75 m),231.5 lb (105 kg; 16 st 8 lb),"Heavyweight(1997-2000, 2001-present)",71 in (180 cm),"BJJ, Wrestling, Boxing"
Dokonjonosuke Mishima,"Yoshitomi Mishima (1972-04-19) April 19, 1972 (age 47)Hyōgo Prefecture, Japan",5 ft 7 in (1.70 m),145 lb (66 kg; 10.4 st),Featherweight,Not Available,Not Available
Sherman Pendergarst,"(1967-02-01)February 1, 1967Baltimore, Maryland",6 ft 1 in (1.85 m),204 lb (93 kg; 14.6 st),Light Heavyweight  (2010-2012)  Heavyweight (2005-2010),74.0 in (188 cm),Not Available
Edwin Dewees,"(1982-08-07) August 7, 1982 (age 36)Florence, South Carolina, United States",6 ft 1 in (1.85 m),224.3 lb (101.7 kg; 16.02 st),HeavyweightLight HeavyweightMiddleweightWelterweight,Not Available,Not Available
Jeremy Jackson,"(1982-09-19) September 19, 1982 (age 36)Brawley, California",5 ft 11 in (1.80 m),170 lb (77 kg; 12 st),Welterweight,71 in (180 cm),Not Available
Gideon Ray,"(1973-05-27) May 27, 1973 (age 46)",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st),Welterweight,Not Available,Not Available
Júnior Assunção,"(1981-06-24) June 24, 1981 (age 38)Recife, Brazil",5 ft 9 in (1.75 m),143.1 lb (64.9 kg; 10.22 st),WelterweightLightweightFeatherweight,71 in (180 cm)[1],Not Available
Ken Shamrock,"Kenneth Wayne Kilpatrick (1964-02-11) February 11, 1964 (age 55)Macon, Georgia, United States",6 ft 1 in (185 cm),210 lb (95 kg; 15 st),HeavyweightLight Heavyweight,73 in (190 cm),"Shootfighting, Wrestling, Kickboxing"
Crafton Wallace,"(1972-04-15) April 15, 1972 (age 47)Baltimore, Maryland, United States",6 ft 0 in (1.83 m),184 lb (83 kg; 13.1 st),Middleweight,Not Available,Not Available
Mario Neto,"(1974-04-20) 1974 (age 44–45)Recife, Brazil",6 ft 0 in (1.83 m),229 lb (104 kg; 16.4 st),Heavyweight,Not Available,Not Available
Rob MacDonald,"(1978-09-05) September 5, 1978 (age 40)Capreol, Ontario, Canada",6 ft 3 in (1.91 m),205 lb (93 kg; 14.6 st),Light HeavyweightHeavyweight,Not Available,Not Available
Cory Walmsley,"St. Paul, Minnesota, United States",6 ft 0 in (1.83 m),205 lb (93 kg; 14.6 st),Light Heavyweight,Not Available,Not Available
Yuki Sasaki,"(1976-09-12) September 12, 1976 (age 42)Date, Fukushima, Japan",6 ft 2 in (1.88 m),170 lb (77 kg; 12 st),MiddleweightWelterweight,Not Available,Not Available
Jason Von Flue,"(1975-08-01) August 1, 1975 (age 43)Kerman, California, United States",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),WelterweightMiddleweight,Not Available,Not Available
Sam Morgan,"Samuel Morgan (1981-09-28) September 28, 1981 (age 37)Minneapolis, Minnesota, United States",5 ft 10 in (1.78 m),165 lb (75 kg; 11.8 st),MiddleweightWelterweightLightweight,Not Available,Not Available
Dan Christison,"(1972-04-26) April 26, 1972 (age 47)Los Angeles, California, United States",6 ft 8 in (2.03 m),265 lb (120 kg; 18.9 st),265 & 265+,85 in (216 cm)[1],Not Available
Branden Lee Hinkle,"(1973-07-29) July 29, 1973 (age 45)Jefferson, Ohio, United States",6 ft 3 in (1.91 m),230 lb (104 kg; 16 st 6 lb),HeavyweightLight Heavyweight,76 in (193 cm),Not Available
Justin Levens,"(1980-04-18)April 18, 1980Philadelphia, Pennsylvania, United States",5 ft 10 in (1.78 m),185 lb (84 kg; 13.2 st),Light HeavyweightMiddleweight,Not Available,Not Available
Solomon Hutcherson,"Solomon Hutcherson (1972-08-13) August 13, 1972 (age 46)Racine, Wisconsin",5 ft 11 in (1.80 m),185 lb (84 kg; 13.2 st),Middleweight,Not Available,Not Available
Royce Gracie,"(1966-12-12) December 12, 1966 (age 52)Rio de Janeiro, Brazil",6 ft 1 in (1.85 m),176 lb (80 kg; 12.6 st),WelterweightMiddleweightLight heavyweight,Not Available,Brazilian Jiu-Jitsu
Fabiano Scherner,"(1972-06-30) June 30, 1972 (age 47)Tres Passos, Brazil",6 ft 4 in (1.93 m),265 lb (120 kg; 18.9 st),Heavyweight (MMA) Ultra-Heavyweight (BJJ),74 in (190 cm),Brazilian Jiu-Jitsu
Nick Thompson,"(1981-06-23) June 23, 1981 (age 38)Newport News, Virginia, United States",6 ft 1 in (1.85 m),170 lb (77 kg; 12 st),Not Available,Not Available,Not Available
David Terrell,"(1978-01-09) January 9, 1978 (age 41)Sacramento, California, United States",6 ft 0 in (1.83 m),185 lb (84 kg; 13.2 st),Middleweight,75.0 in (191 cm),Not Available
Trevor Prangley,"(1972-08-24) 24 August 1972 (age 46)Cape Town, South Africa",6 ft 1 in (1.85 m),202.75 lb (91.97 kg; 14.482 st),Middleweight  Light Heavyweight  Heavyweight,76.0 in (193 cm),Not Available
Steve Vigneault,"Les Îles-de-la-Madeleine, Quebec, Canada",5 ft 10 in (1.78 m),169 lb (77 kg; 12.1 st),Welterweight,Not Available,Not Available
Justin Eilers,"Justin Mark Eilers(1978-06-28)June 28, 1978Boise, Idaho, U.S.[1]",6 ft 1 in (1.85 m)[1],235 lb (107 kg; 16 st 11 lb),Heavyweight (265 lb),Not Available,"Boxing, Wrestling"
Mike Van Arsdale,"(1965-06-20) June 20, 1965 (age 54)Waterloo, Iowa, United States",6 ft 2 in (1.88 m),205 lb (93 kg; 14.6 st),Light Heavyweight,Not Available,Wrestling
Mike Whitehead,"(1981-06-29) June 29, 1981 (age 38)Medford, Oregon, United States",6 ft 1 in (1.85 m),261 lb (118 kg; 18.6 st),Heavyweight  Light Heavyweight,74.0 in (188 cm),Not Available
Alex Karalexis,"(1977-09-20) September 20, 1977 (age 41)Boston, Massachusetts, United States",5 ft 8 in (1.73 m),170 lb (77 kg; 12 st),LightweightWelterweightMiddleweight,Not Available,Not Available
Kevin Jordan,"(1970-12-31) December 31, 1970 (age 48)Fairfield, California, United States",6 ft 3 in (1.91 m),236.6 lb (107.3 kg; 16.90 st),Heavyweight,Not Available,Not Available
Kit Cope,"Kristopher Lee Cope (1977-03-17) March 17, 1977 (age 42)Williams, Arizona, United States",1.83 m (6 ft 0 in),70.0 kg (154.3 lb; 11.02 st),Featherweight  Lightweight  Welterweight,72 1⁄2 in (184 cm),Not Available
Kerry Schall,"(1971-08-09) August 9, 1971 (age 47)Cincinnati, Ohio, United States",6 ft 2 in (1.88 m),265 lb (120 kg; 18 st 13 lb),Heavyweight,Not Available,Not Available
Tra Telligman,"(1965-02-07) February 7, 1965 (age 54)Fort Worth, Texas, United States",6 ft 2 in (1.88 m),233 lb (106 kg; 16.6 st),Heavyweight,Not Available,Not Available
Brian Gassaway,"(1972-08-07) August 7, 1972 (age 46)Urbana, Illinois, United States",6 ft 0 in (1.83 m),170 lb (77 kg; 12 st),Welterweight,Not Available,Not Available
Matt Lindland,"(1970-05-17) May 17, 1970 (age 49)Oregon City, Oregon, United States",6 ft 0 in (1.83 m),185 lb (84 kg; 13 st 3 lb),MiddleweightLight HeavyweightHeavyweight,Not Available,Not Available
Travis Wiuff,"Travis Wiuff (1978-03-15) March 15, 1978 (age 41)Owatonna, Minnesota, United States",6 ft 3 in (1.91 m),259 lb (117 kg; 18.5 st),Light HeavyweightHeavyweightSuper Heavyweight,74 in (188 cm)[1],Not Available
John Marsh,"(1970-09-15) September 15, 1970 (age 48)Torrance, California, United States",6 ft 0 in (1.83 m),222 lb (101 kg; 15.9 st),Heavyweight,Not Available,Not Available
